chi_kappa,L,P_demand,S_supply,Deficit,Deficit_Ratio,Is_Vulnerable
0.07,0.45000000000000007,0.46936697764935426,0.16426300218071477,0.3051039754686395,1.8574114159497572,1
0.07,0.4600000000000001,0.49045951837335017,0.16607811808031042,0.32438140029303975,1.9531856697471643,1
0.07,0.47000000000000003,0.5120156314209502,0.16787360937554646,0.34414202204540373,2.050006688517258,1
0.07,0.48000000000000004,0.5340353167921542,0.16965009915838422,0.36438521763376996,2.1478632753027886,1
0.07,0.49000000000000005,0.5565185744869631,0.17140817822999468,0.3851103962569684,2.2467445849650716,1
0.07,0.5,0.5794654045053758,0.173148407396088,0.40631699710928776,2.3466401061363027,1
0.07,0.51,0.6028758068473928,0.174871319556632,0.42800448729076085,2.4475396444421054,1
0.07,0.52,0.6267497815130144,0.1765774216120332,0.45017235990098126,2.5494333068815376,1
0.07,0.53,0.6510873285022404,0.17826719620510603,0.4728201322971344,2.652311487263923,1
0.07,0.54,0.6758884478150703,0.17994110331579552,0.4959473444992748,2.7561648526123035,1
0.07,0.55,0.7011531394515046,0.18159958172358723,0.5195535577279173,2.8609843304525335,1
0.08,0.25,0.18921319330787773,0.12243441302142478,0.06677878028645294,0.5454249229321443,1
0.08,0.26,0.20465298988180058,0.1248590922263047,0.07979389765549588,0.6390715824753153,1
0.08,0.27,0.22069826867430867,0.1272375743687882,0.09346069430552048,0.7345369067994958,1
0.08,0.28,0.23734902968540195,0.1295724035083433,0.10777662617705866,0.8317868871678283,1
0.08,0.29000000000000004,0.25460527291508045,0.13186589843702945,0.122739374478051,0.9307893544339162,1
0.08,0.3,0.2724669983633439,0.1341201796534772,0.13834681870986673,1.031513818929484,1
0.08,0.31,0.2909342060301928,0.1363371923209402,0.15459701370925263,1.13393132921007,1
0.08,0.32,0.31000689591562697,0.13851872591687042,0.17148816999875655,1.2380143468953948,1
0.08,0.33,0.3296850680196462,0.14066643113873722,0.18901863688090897,1.3437366353204958,1
0.08,0.34,0.3499687223422508,0.1427818345203098,0.207186887821941,1.4510731600977576,1
0.08,0.35000000000000003,0.3708578588834404,0.1448663511263439,0.2259915077570965,1.56,1
0.08,0.36,0.39235247764321524,0.14692129562570974,0.2454311820175055,1.6704942668267453,1
0.08,0.37,0.41445257862157536,0.14894789198915584,0.26550468663241955,1.7825340331217956,1
0.08,0.38,0.43715816181852074,0.15094728201491164,0.2862108798036091,1.8960982667798891,1
0.08,0.39,0.4604692272340513,0.15292053285077611,0.3075486943832752,2.0111667717205073,1
0.08,0.4,0.4843857748681673,0.15486864365339206,0.3295171312147752,2.1277201339236878,1
0.08,0.41000000000000003,0.508907804720868,0.1567925515026698,0.35211525321819825,2.2457396722203513,1
0.08,0.42000000000000004,0.5340353167921542,0.158693136670725,0.3753421801214292,2.3652073933117403,1
0.08,0.43000000000000005,0.5597683110820256,0.16057122732939869,0.39919708375262697,2.4861059505617837,1
0.08,0.44000000000000006,0.5861067875904823,0.16242760376778778,0.42367918382269454,2.608418606165004,1
0.08,0.45000000000000007,0.6130507463175239,0.16426300218071477,0.4487877441368091,2.73212919634254,1
0.08,0.4600000000000001,0.6406001872631512,0.16607811808031042,0.47452206918284073,2.8572220992616018,1
0.08,0.47000000000000003,0.6687551104273632,0.16787360937554646,0.5008815010518168,2.983682205410295,1
0.08,0.48000000000000004,0.6975155158101604,0.16965009915838422,0.5278654166517761,3.1114948901913957,1
0.08,0.49000000000000005,0.7268814034115434,0.17140817822999468,0.5554732251815487,3.2406459885258063,1
0.08,0.5,0.7568527732315109,0.173148407396088,0.5837043658354228,3.371121771280067,1
0.08,0.51,0.787429625270064,0.174871319556632,0.6125583057134321,3.502908923352954,1
0.08,0.52,0.8186119595272023,0.1765774216120332,0.6420345379151692,3.635994523273844,1
0.08,0.53,0.8503997760029257,0.17826719620510603,0.6721325797978197,3.7703660241814476,1
0.08,0.54,0.8827930746972347,0.17994110331579552,0.7028519713814392,3.906011236065049,1
0.08,0.55,0.9157918556101282,0.18159958172358723,0.734192273886541,4.042918309162491,1
0.09,0.25,0.23947294778028277,0.12243441302142478,0.11703853475885799,0.9559284180859954,1
0.09,0.26,0.25901394031915387,0.1248590922263047,0.13415484809284917,1.0744499715703208,1
0.09,0.27,0.2793212462909218,0.1272375743687882,0.15208367192213362,1.195273272668111,1
0.09,0.28,0.30039486569558677,0.1295724035083433,0.17082246218724348,1.318355279071782,1
0.09,0.29000000000000004,0.32223479853314857,0.13186589843702945,0.19036890009611912,1.4436552767054243,1
0.09,0.3,0.34484104480360706,0.1341201796534772,0.21072086515012986,1.5711346770826273,1
0.09,0.31,0.36821360450696267,0.1363371923209402,0.23187641218602248,1.7007568385314937,1
0.09,0.32,0.39235247764321524,0.13851872591687042,0.2538337517263448,1.8324869077894832,1
0.09,0.33,0.4172576642123646,0.14066643113873722,0.2765912330736274,1.9662916790775016,1
0.09,0.34,0.44292916421441103,0.1427818345203098,0.30014732969410124,2.1021394682487236,1
